long,lat
-50.1618995666504,-25.0949993133545
-46.5614013671875,-21.7877998352051
-51.0663986206055,-0.366667002439499
-51.0663986206055,-0.366667002439499
-50.941389,-28.589722
-52.3424987792969,-31.771900177002
-49.9317016601562,-28.2938995361328
-45.5900001525879,-22.7299995422363
-50.1446990966797,-29.0478000640869
-49.9317016601562,-28.2938995361328
-49.9317016601562,-28.2938995361328
-46.6300010681152,-23.5400009155273
-51.0783004760742,-26.2381000518799
-51.0783004760742,-26.2381000518799
-50.440000,-29.390278
-49.9317016601562,-28.2938995361328
-50.330209,-27.818491
-42.9655990600586,-22.4122009277344
-50.1618995666504,-25.0949993133545
-51.141,-26.2552
-50.1618995666504,-25.0949993133545
-49.5935,-25.1457
-49.1403,-26.1015
-50.2059,-26.4622
-49.2064018249512,-25.5347003936768
-49.5917015075684,-28.0149993896484
-49.2036,-27.5924
-49.2655982971191,-26.1924991607666
-49.2655982971191,-26.1924991607666
-49.1404,-26.1015
-49.1404,-26.1016
-46.6300010681152,-23.5400009155273
-49.0769004821777,-25.3656005859375
-49.0553016662598,-25.3055992126465
-43.7144012451172,-19.1688995361328
-49.0633010864258,-25.4416999816895
-49.0633010864258,-25.4416999816895
-49.0633010864258,-25.4416999816895
-48.676111,-25.074722
-49.382,-28.2253
-46.3657989501953,-20.2453002929688
-50.0064010620117,-25.4293994903564
-50.0064010620117,-25.4293994903564
-49.3478012084961,-25.2199993133545
-49.1925010681152,-25.4447002410889
-51.4737,-27.322
-48.834400177002,-25.476900100708
-46.6300010681152,-23.5400009155273
-49.0769004821777,-25.3656005859375
-50.0143,-24.2637
-50.1756,-24.3709
-49.5918,-24.4347
-49.2731018066406,-25.4277992248535
-49.2731018066406,-25.4277992248535
-45.5900001525879,-22.7299995422363
-49.261100769043,-24.823600769043
-49.3936,-24.1059
-51.4580993652344,-25.395299911499
-48.5746994018555,-25.8827991485596
-57.951389,-31.385278
