Longitude,Latitude
-51.1472015380859,-29.7602996826172
-49.290126,-25.310726
-53.8069000244141,-29.6842002868652
-51.315601348877,-26.4274997711182
-50.5835990905762,-29.4480991363525
-53.8069000244141,-29.6842002868652
-51.3478012084961,-29.2250003814697
-50.969652,-31.251692
-52.3424987792969,-31.771900177002
-51.1472015380859,-29.7602996826172
-52.9230995178223, -27.9438991546631
-52.3736000061035,-30.1914005279541
-51.0853004455566,-29.5802993774414
-53.4914016723633,-30.5121994018555
-49.7268981933594,-29.3353004455566
-52.3653,-31.4858
-49.4344,-29.2047
-51.1794013977051,-29.1681003570557
-51.1794013977051,-29.1681003570557
-51.62,-26.68
-50.3014,-29.0349
-51.0233001708984,-30.0811004638672
-51.0258,-30.2114
-51.0233001708984,-30.0811004638672
-51.6166667,-26.6833333
-50.1446990966797,-29.0478000640869
-50.4328,-26.1547
-52.0528,-31.2221
-48.3837,-28.0801
-51.1455,-29.1031
-48.6702995300293,-28.2399997711182
-50.5755556,-29.4205556
-51.4611015319824,-29.6886005401611
-51.0743,-30.0313
-51.1794013977051,-29.1681003570557
-48.4131,-28.0922
-51.1532,-29.0948
-51.0122,-30.2153
-52.3424987792969,-31.771900177002
-51.143791,-29.75136
-51.5202,-26.3506
-50.1516667,-29.7788889
-51.1403,-29.1401
-49.7268981933594,-29.3353004455566
-51.1794013977051,-29.1681003570557
-51.0114,-30.2304
-51.0233001708984,-30.0811004638672
-51.0757,-28.4013
-51.1794013977051,-29.1681003570557
-53.75830078125,-27.3710994720459
-53.5938,-30.5145
-51.2004,-25.2203
-51.8643989562988,-29.7996997833252
-51.1794013977051,-29.1681003570557
-51.7291984558105,-30.0771999359131
-52.1019,-31.2257
-51.4611015319824,-29.6886005401611
-51.4580993652344,-25.395299911499
-51.0233001708984,-30.0811004638672
-50.2696990966797,-29.8866996765137
-51.4611015319824,-29.6886005401611
-50.233539,-29.856022
-51.4611015319824,-29.6886005401611
-50.1159,-29.074
-51.3478012084961,-29.2250003814697
-48.6702995300293,-28.2399997711182
-52.3206,-31.4649
-44.6991666,-22.3752778
-49.61669921875,-29.113899230957
-51.4611015319824,-29.6886005401611
-49.7267,-29.3356
-50.151667,-29.778889
-51.3974990844727,-29.6382999420166
-50.7608333,-28.17
-50.9338989257812,-28.5121994018555
-51.4580993652344,-25.395299911499
-50.3343,-27.1845
-51.4611015319824,-29.6886005401611
-52.0556,-31.2222
-52.3424987792969,-31.771900177002
-53.4914016723633,-30.5121994018555
-50.7831001281738,-29.8805999755859
-51.0928001403809,-28.7947006225586
-53.4914016723633,-30.5121994018555
-49.7268981933594,-29.3353004455566
-51.1632,-29.1034
-51.4611015319824,-29.6886005401611
-51.401197,-29.313939
-52.0007,-31.1749
-50.234711,-29.856883
-52.5853,-27.3101
-51.1794013977051,-29.1681003570557
-51.0928001403809,-28.7947006225586
-52.4067001342773,-28.2628002166748
-51.62,-26.68
-49.4444,-28.0912
-51.5335998535156,-29.2560997009277
-51.4611015319824,-29.6886005401611
-49.7268981933594,-29.3353004455566
-53.5938,-30.5145
-49.4444,-28.0913
-53.4222,-26.1649
-50.012,-29.0409
-52.8731,-10.8339
-53.4914016723633,-30.5121994018555
-52.0494003295898,-27.6972007751465
-51.1794013977051,-29.1681003570557
-51.2342,-26.4344
-51.4611015319824,-29.6886005401611
-51.3478012084961,-29.2250003814697
-51.4611015319824,-29.6886005401611
-51.0144,-30.215
-50.0503,-29.0821
-51.7291984558105,-30.0771999359131
-51.5191993713379,-29.1714000701904
-50.151667,-29.778889
-51.1794013977051,-29.1681003570557
-51.4611015319824,-29.6886005401611
-52.0451,-30.5411
-50.326099395752,-27.8160991668701
-50.8497222,-28.035
-49.7268981933594,-29.3353004455566
